run_id,config_idx,config_bits,replicate
1,0,0010111,1
2,0,0010111,2
3,0,0010111,3
4,0,0010111,4
5,0,0010111,5
6,0,0010111,6
7,0,0010111,7
8,0,0010111,8
9,0,0010111,9
10,0,0010111,10
11,0,0010111,11
12,0,0010111,12
13,0,0010111,13
14,0,0010111,14
15,0,0010111,15
16,0,0010111,16
17,0,0010111,17
18,0,0010111,18
19,0,0010111,19
20,0,0010111,20
21,0,0010111,21
22,0,0010111,22
23,0,0010111,23
24,0,0010111,24
25,0,0010111,25
26,0,0010111,26
27,0,0010111,27
28,0,0010111,28
29,0,0010111,29
30,0,0010111,30
31,1,0100100,1
32,1,0100100,2
33,1,0100100,3
34,1,0100100,4
35,1,0100100,5
36,1,0100100,6
37,1,0100100,7
38,1,0100100,8
39,1,0100100,9
40,1,0100100,10
41,1,0100100,11
42,1,0100100,12
43,1,0100100,13
44,1,0100100,14
45,1,0100100,15
46,1,0100100,16
47,1,0100100,17
48,1,0100100,18
49,1,0100100,19
50,1,0100100,20
51,1,0100100,21
52,1,0100100,22
53,1,0100100,23
54,1,0100100,24
55,1,0100100,25
56,1,0100100,26
57,1,0100100,27
58,1,0100100,28
59,1,0100100,29
60,1,0100100,30
61,2,0010010,1
62,2,0010010,2
63,2,0010010,3
64,2,0010010,4
65,2,0010010,5
66,2,0010010,6
67,2,0010010,7
68,2,0010010,8
69,2,0010010,9
70,2,0010010,10
71,2,0010010,11
72,2,0010010,12
73,2,0010010,13
74,2,0010010,14
75,2,0010010,15
76,2,0010010,16
77,2,0010010,17
78,2,0010010,18
79,2,0010010,19
80,2,0010010,20
81,2,0010010,21
82,2,0010010,22
83,2,0010010,23
84,2,0010010,24
85,2,0010010,25
86,2,0010010,26
87,2,0010010,27
88,2,0010010,28
89,2,0010010,29
90,2,0010010,30
91,3,0110111,1
92,3,0110111,2
93,3,0110111,3
94,3,0110111,4
95,3,0110111,5
96,3,0110111,6
97,3,0110111,7
98,3,0110111,8
99,3,0110111,9
100,3,0110111,10
101,3,0110111,11
102,3,0110111,12
103,3,0110111,13
104,3,0110111,14
105,3,0110111,15
106,3,0110111,16
107,3,0110111,17
108,3,0110111,18
109,3,0110111,19
110,3,0110111,20
111,3,0110111,21
112,3,0110111,22
113,3,0110111,23
114,3,0110111,24
115,3,0110111,25
116,3,0110111,26
117,3,0110111,27
118,3,0110111,28
119,3,0110111,29
120,3,0110111,30
121,4,0100101,1
122,4,0100101,2
123,4,0100101,3
124,4,0100101,4
125,4,0100101,5
126,4,0100101,6
127,4,0100101,7
128,4,0100101,8
129,4,0100101,9
130,4,0100101,10
131,4,0100101,11
132,4,0100101,12
133,4,0100101,13
134,4,0100101,14
135,4,0100101,15
136,4,0100101,16
137,4,0100101,17
138,4,0100101,18
139,4,0100101,19
140,4,0100101,20
141,4,0100101,21
142,4,0100101,22
143,4,0100101,23
144,4,0100101,24
145,4,0100101,25
146,4,0100101,26
147,4,0100101,27
148,4,0100101,28
149,4,0100101,29
150,4,0100101,30
151,5,1000101,1
152,5,1000101,2
153,5,1000101,3
154,5,1000101,4
155,5,1000101,5
156,5,1000101,6
157,5,1000101,7
158,5,1000101,8
159,5,1000101,9
160,5,1000101,10
161,5,1000101,11
162,5,1000101,12
163,5,1000101,13
164,5,1000101,14
165,5,1000101,15
166,5,1000101,16
167,5,1000101,17
168,5,1000101,18
169,5,1000101,19
170,5,1000101,20
171,5,1000101,21
172,5,1000101,22
173,5,1000101,23
174,5,1000101,24
175,5,1000101,25
176,5,1000101,26
177,5,1000101,27
178,5,1000101,28
179,5,1000101,29
180,5,1000101,30
181,6,0000011,1
182,6,0000011,2
183,6,0000011,3
184,6,0000011,4
185,6,0000011,5
186,6,0000011,6
187,6,0000011,7
188,6,0000011,8
189,6,0000011,9
190,6,0000011,10
191,6,0000011,11
192,6,0000011,12
193,6,0000011,13
194,6,0000011,14
195,6,0000011,15
196,6,0000011,16
197,6,0000011,17
198,6,0000011,18
199,6,0000011,19
200,6,0000011,20
201,6,0000011,21
202,6,0000011,22
203,6,0000011,23
204,6,0000011,24
205,6,0000011,25
206,6,0000011,26
207,6,0000011,27
208,6,0000011,28
209,6,0000011,29
210,6,0000011,30
211,7,0000000,1
212,7,0000000,2
213,7,0000000,3
214,7,0000000,4
215,7,0000000,5
216,7,0000000,6
217,7,0000000,7
218,7,0000000,8
219,7,0000000,9
220,7,0000000,10
221,7,0000000,11
222,7,0000000,12
223,7,0000000,13
224,7,0000000,14
225,7,0000000,15
226,7,0000000,16
227,7,0000000,17
228,7,0000000,18
229,7,0000000,19
230,7,0000000,20
231,7,0000000,21
232,7,0000000,22
233,7,0000000,23
234,7,0000000,24
235,7,0000000,25
236,7,0000000,26
237,7,0000000,27
238,7,0000000,28
239,7,0000000,29
240,7,0000000,30
