cfg,f_ent,f_cv,f_tmp,f_stb,mean_win_div_norm,sd_across_seeds,cv_pct
0,0,0,0,0,0.984201,43.0,0.07
1,0,0,0,1,0.984288,24.6,0.04
2,0,0,1,0,0.984766,0.0,0.00
3,0,0,1,1,0.983984,75.8,0.12
4,0,1,0,0,0.984115,42.7,0.07
5,0,1,0,1,0.984896,22.6,0.03
6,0,1,1,0,0.984592,40.3,0.06
7,0,1,1,1,0.984158,17.8,0.03
8,1,0,0,0,0.984722,30.0,0.05
9,1,0,0,1,0.983811,38.5,0.06
10,1,0,1,0,0.983724,22.6,0.04
11,1,0,1,1,0.983724,8.5,0.01
12,1,1,0,0,0.984158,34.5,0.05
13,1,1,0,1,0.984245,34.1,0.05
14,1,1,1,0,0.984505,30.8,0.05
15,1,1,1,1,0.983941,4.9,0.01
