seed,window,run_lo,run_hi,mean_wd,sd_wd,min_wd,max_wd
12345,1,0,59,0.983854,0.004402,0.968750,0.988281
12345,2,60,119,0.983724,0.004780,0.964844,0.988281
12345,3,120,179,0.985091,0.001969,0.976562,0.988281
12345,4,180,239,0.983919,0.003674,0.964844,0.988281
12345,5,240,299,0.983919,0.004074,0.964844,0.988281
12345,6,300,359,0.984115,0.004541,0.964844,0.988281
12345,7,360,419,0.984896,0.003091,0.964844,0.988281
12345,8,420,479,0.984375,0.002274,0.968750,0.988281
67890,1,0,59,0.984115,0.003040,0.968750,0.988281
67890,2,60,119,0.984505,0.002688,0.972656,0.988281
67890,3,120,179,0.984245,0.003048,0.968750,0.988281
67890,4,180,239,0.983789,0.004815,0.964844,0.988281
67890,5,240,299,0.984180,0.002915,0.972656,0.988281
67890,6,300,359,0.984896,0.001339,0.984375,0.988281
67890,7,360,419,0.982878,0.004666,0.968750,0.988281
67890,8,420,479,0.984115,0.003797,0.968750,0.988281
13579,1,0,59,0.984896,0.002213,0.972656,0.988281
13579,2,60,119,0.984310,0.003411,0.968750,0.988281
13579,3,120,179,0.984310,0.003256,0.968750,0.988281
13579,4,180,239,0.984440,0.003256,0.968750,0.988281
13579,5,240,299,0.984896,0.002735,0.968750,0.988281
13579,6,300,359,0.984115,0.003728,0.964844,0.988281
13579,7,360,419,0.983724,0.004501,0.964844,0.988281
13579,8,420,479,0.984440,0.001832,0.972656,0.988281
